id,slug,view_order,question,answer,special,old_path,faq_type
10,no_fetal_movement,10,Is it normal to feel no fetal movement?,"<p>Fetal movement is usually noticed by 20 weeks. By 24-28 weeks, fetal movement should be noted almost hourly. At this point, it is abnormal to feel no movement. If no movement is noted, the most likely scenario is that you have not been paying close attention.  If you are concerned, eat something or drink something sweet and lie on your left side and count movements.  Any movement is reassuring. Four to five discrete movements in an hour is normal.  </p>
<p>Remember, babies sleep 20 to 40 minutes per hour and there may be certain times of the day where they seem more or less active and there is really no such thing as a baby that moves too much. In the event that this observation has not satisfied you that your baby is doing well and you are 28 weeks or more, you are directed to labor and delivery for evaluation. If you are less than 28 weeks, we are hesitant to recommend coming to the hospital for evaluation especially in the absence of other extenuating circumstances because obstetric intervention for fetal indications before 28 weeks is quite rare. However, if there is any question, the heart tones can be checked either in the office or on labor and delivery.</p>",,ob_q10,1
11,did_i_repture_my_membranes,11,Did I rupture my membranes?,"<p>Rupture of the membranes causes a significant gush of clear fluid commonly. It can also be seen when the patient has persistent wetness. Frequently, ongoing uterine contractions will occur. In certain scenarios, patients mistakenly think they have ruptured because of small episodic leakages, which is often urinary incontinence. Remember the uterus is sitting right on top of the bladder. Also, vaginal discharge can be profound at term. This problem is evaluated typically in the clinic or labor and delivery after hours.</p>",,ob_q11,1
12,when_should_i_go_to_labor_and_delivery,12,Am I in labor? When should I go to labor and delivery?,"<p>If you are greater than 36 weeks, you may experience contractions repeatedly. Most often, you will be instructed to go to labor and delivery if the contractions are profound (having trouble walking and talking during the contractions and occurrence is every 5 minutes). Labor does not typically diminish when you rest. There are exceptions to this guideline: the patient with a history of rapid labors or the patient who lives a long distance from the hospital. If you suspect that the membranes have ruptured, come directly to the hospital.</p>",,ob_q12,1
13,less_than_36_weeks_regular_contractions,13,I am less than 36 weeks and am having regular contractions. What should I do?,"<p>Preterm labor is a profound problem in obstetrics, affecting 7-10 percent of pregnant women. The causes are multifactorial and the presentation varied. In general, we are much more tolerant of contractions after 34 weeks. Before 34 weeks, we are much less tolerant of contractions that occur more than 6 per hour. If you are having contractions and think they could be labor contractions, you will be instructed to rest on your side, drink 32-64 oz. of water and observe the contractions. If contractions continue at more than 6 per hour or worsen, then this is more concerning for the possibility of preterm labor, and you will be asked to come into labor and delivery. There are some signs which make the possibility of preterm labor higher. Those include foul smelling or blood tinged discharge or suspected rupture of membranes.</p>",,ob_q13,1
14,pregnant_and_have_a_headache,14,What if I am pregnant and have a headache?,"<div class=""alert alert-warning"" role=""alert"">Patients should take medicines during pregnancy only as a last alternative.   Many medicines are considered ""safe"" when taken during pregnancy, and are described as such here; however, these declarations are usually made via observational studies of populations.  They are rarely made as the result of rigorous study.  Thus, caution and restraint should be exercised in starting any medication, prescription or over the counter, during pregnancy.</div>
<p>Headache is a very common complaint, and a very difficult problem to deal with via the internet, or any ""call-in"" type scenario. The vast majority of headaches in reproductive aged women are going to be benign and self-limited. First, one must clarify what type of headache you have. In clarifying the type of headache, we must be mindful of danger signs that mandate presentation to an emergency room. Some of these might be:</p>
<ul>
  <li>First time headache.  The patient has never had headaches before.    </li>
  <li>High intensity headache.  Described as the worst headache of a person's life.    </li>
  <li> Severe persistent headache which reaches maximal intensity within a few seconds.    </li>
  <li> Altered mental status or seizure accompanying the headache.    </li>
  <li> Concomitant infection ie sinus infection, fever.</li>
  <li>Visual changes.</li>
  <li>Headache with exertion.    </li>
  <li>Patients being followed for high blood pressure especially in the third trimester.  May have swelling, visual changes and even abdominal pain.    </li>
</ul>
<p>If the patient has a history of migraines and the headache is typical, then we usually conclude that this is a migraine though many patients will notice an improvement in migraines during pregnancy.  Tension headaches are very common during pregnancy.  Typically, we recommend Tylenol 1000mg and before 32 weeks gestation, ibuprofen (ie advil,motrin) 800mg.  We also recommend drinking a caffeinated beverage such as 12 oz. soda.  Though we don't advocate regular caffeine consumption, episodic use is not contraindicated in this situation.  We do not recommend using your midrin, or imitrex. If you call the on-call physician, you will likely be told to go to the emergency room for evaluation and pain medications.</p>","<div class=""alert alert-warning mt-3"" role=""alert"">Nsaids such as Motrin, ibuprofen, advil, and naprosyn to name a few have generally been considered safe when taken during pregnancy before 20 weeks gestational age.  We encourage caution in the use of nsaids especially during the first trimester.  There may be a small association with the use of these agents and the formation of cardiac septal defects and orofacial cleft defects in the newborn. Daily baby aspirin is indicated for certain medical conditions in pregnancy. If your doctor has recommended baby aspirin, it is considered safe in all trimesters.</div>",ob_q14,1
15,pregnant_and_upper_respiatory_tract_infection,15,What if I have an upper respiratory tract infection?,"<div class=""alert alert-warning"" role=""alert""> Patients should take medicines during pregnancy only as a last alternative.   Many medicines are considered ""safe"" when taken during pregnancy, and are described as such here; however, these declarations are usually made via observational studies of populations.  They are rarely made as the result of rigorous study.  Thus, caution and restraint should be exercised in starting any medication, prescription or over the counter, during pregnancy.</div>
<p> The URI or upper respiratory tract infection is a catch-all term used to describe the common signs and symptoms of the ""common cold"".  Most of these infections are viral in nature and they resolve spontaneously.  Occasionally, a patient will have a bacterial infection involving the sinuses or the throat, such as strep throat, or even pneumonia.  These patients require antibiotic therapy.  It can be difficult to differentiate the common viral infection from the more serious bacterial URI or pneumonia.  If the symptoms are of new onset (&lt;1-2 weeks) and not accompanied by fever, productive sputum, or chest pain and shortness of breath.  Supportive care is likely indicated and the patient may try one of the approved over the counter preparations to relieve her symptoms.  There are a variety of over the counter medications available.  Anti-histamines are utilized extensively.  See the list below and match the medications to the appropriate symptoms.  Importantly, these medications do not ""cure"" the infections.  They are intended to only relieve the symptoms caused by the infections.</p>
<ul>
  <li>Vaporizer at bedside</li>
  <li>Vicks VapoRub</li>
  <li>Nasal irrigation: ½ tsp. salt, ½ tsp. baking soda in 8 oz. warm water. Irrigate nasal passages 3-4 times daily</li>
  <li>Cepastat lozenges or throat sprays</li>
  <li>Afrin (oxymetazoline)—theoretic precautions in IUGR cases</li>
  <li>Antihistamines:
    <ul>
      <li> Chlor-trimetron (chlorpheniramine)—after 12 weeks pregnant</li>
      <li>Sudafed (pseudoephedrine)—after 12 weeks pregnant</li>
      <li>Novahistine—after 12 weeks pregnant</li>
      <li>Tylenol cold and sinus—after 12 weeks pregnant</li>
      <li>Advil cold and sinus—after 12 weeks and before 32 weeks pregnant</li>
      <li>Claritin (loratadine)—after 12 week</li>
    </ul>
  </li>
</ul>",,ob_q15,1
16,heartburn_or_gerd_during_pregnancy,16,What If I have heartburn or GERD during pregnancy?,"<div class=""alert alert-warning"" role=""alert"">Patients should take medicines during pregnancy only as a last alternative.   Many medicines are considered ""safe"" when taken during pregnancy, and are described as such here; however, these declarations are usually made via observational studies of populations.  They are rarely made as the result of rigorous study.  Thus, caution and restraint should be exercised in starting any medication, prescription or over the counter, during pregnancy.</div>
<p>Heartburn is very common during pregnancy for a couple of reasons.  The hormones of pregnancy slow the transit of stomach contents, the hormones also relax the muscles and render the ""sphincter"" at the top of the stomach less functional.  Also, the enlarging uterus displaces the stomach upward further interfering with the normal function of this ""esophageal sphincter"".  There are a number of strategies that are useful:</p>
<ul>
  <li>Elevate the head of the bed 6-8 inches</li>
  <li>Avoid foods that trigger the problem ie fatty foods, chocolate, and peppermint.  Also avoid foods that specifically irritate such as acidic drinks and spicy food.</li>
  <li>Don't smoke</li>
  <li>Don't lie down after eating</li>
  <li>Chew gum, to promote salivation</li>
</ul>
<p>Some useful medications:</p>
<ul>
  <li>Tums</li>
  <li>Maalox</li>
  <li>OTC acid blockers such as pepcid(famotidine), and zantac(ranitidine)</li>
  <li>Prescription: nexium(esmaprazole), protonix(pantoprazole)</li>
  <li>Do not use Pepto Bismol during pregnancy</li>
</ul>",,ob_q16,1
17,diarrhea_while_i_am_pregnant,17,What if I have diarrhea while I am pregnant?,"<div class=""alert alert-warning"" role=""alert"">Patients should take medicines during pregnancy only as a last alternative.   Many medicines are considered ""safe"" when taken during pregnancy, and are described as such here; however, these declarations are usually made via observational studies of populations.  They are rarely made as the result of rigorous study.  Thus, caution and restraint should be exercised in starting any medication, prescription or over the counter, during pregnancy.</div>
<p>Patients who are pregnant can acquire a gastroenteritis just as a non-pregnant woman can.  It may be related to ""food poisoning"" or other source.  The treatment is the same whether you are pregnant or not.<br>
Consider the following if the symptoms are new onset and not associated with alert signs such as fever, bloody diarrhea, and weight loss:</p>
<ul>
  <li>Clear liquids, bland diet until symptoms resolve</li>
  <li>Imodium AD</li>
</ul>",,ob_q17,1
18,constipation_during_pregnancy,18,What if I have constipation during pregnancy?,"<div class=""alert alert-warning"" role=""alert"">Patients should take medicines during pregnancy only as a last alternative.   Many medicines are considered ""safe"" when taken during pregnancy, and are described as such here; however, these declarations are usually made via observational studies of populations.  They are rarely made as the result of rigorous study.  Thus, caution and restraint should be exercised in starting any medication, prescription or over the counter, during pregnancy.</div>
<p>Constipation is a common complaint during pregnancy.  The high progesterone levels encountered cause a slow down in the transport of material through the digestive tract.  This leads to problems ranging from heartburn to hemorrhoids.  Constipation can be further exacerbated by vitamins and iron.</p>
<ul>
  <li>Water consumption should be at least 8-10 glasses of water per day </li>
  <li>High fiber diet </li>
  <li>Fiber laxatives such as Metamucil, Citrucel, Fibercon</li>
  <li>Milk of magnesia </li>
  <li>Magnesium Citrate—120 to 240 mL orally </li>
  <li>Mineral oil—may decrease absorption of fat soluble vitamins </li>
  <li>Glycerine suppositories</li>
</ul>",,ob_q18,1
19,hemorrhoids_during_pregnancy,19,What if I have hemorrhoids during pregnancy?,"<div class=""alert alert-warning"" role=""alert"">Patients should take medicines during pregnancy only as a last alternative.   Many medicines are considered ""safe"" when taken during pregnancy, and are described as such here; however, these declarations are usually made via observational studies of populations.  They are rarely made as the result of rigorous study.  Thus, caution and restraint should be exercised in starting any medication, prescription or over the counter, during pregnancy.</div>
<ul>
  <li>Increase fluids </li>
  <li>Increase fiber through diet or supplementation as above for constipation </li>
  <li>Avoid straining with defecation and avoid prolonged times on the toilet </li>
  <li>Use sitz baths to soothe </li>
  <li>Try topical therapies—will not cure, but may decrease symptoms, for example, Tucks, Preparation H, Hydrocortisone and epi-foam</li>
  <li>There are some prescription medicines which can provide relief and can be obtained with an asap clinic appointment. Surgical evaluation is rarely required but should be considered for thrombosed or refractory/ disabling hemorrhoids.</li>
</ul>",,ob_q19,1
20,first_trimester_nausea,20,I am in the first trimester and have nausea. What can I do and when should I be worried?,"<style type=""text/css"">
<!--
.style1 {font-size: smaller}
-->
</style>
<div class=""alert alert-warning"" role=""alert"">Patients should take medicines during pregnancy only as a last alternative.   Many medicines are considered ""safe"" when taken during pregnancy, and are described as such here; however, these declarations are usually made via observational studies of populations.  They are rarely made as the result of rigorous study.  Thus, caution and restraint should be exercised in starting any medication, prescription or over the counter, during pregnancy.</div>
<p>Fifty to ninety percent  of pregnant patients experience nausea and vomiting.   A list of  home and over-the-counter remedies is available in the section on medications in pregnancy.  We certainly advocate the use of electrolyte containing fluids if vomiting is persistent.  </p>
<p>Less than 1 percent of patients develop a severe variant called hyperemesis gravidarum.   These patients have intractable nausea and vomiting and experience weight loss, dehydration and electrolyte abnormalities.  <em>Go to the emergency room if you are unable to keep any fluid down and have signs of dehydration such as dry mouth, low or concentrated urine output and the conservative interventions have not helped</em>. <em>There you may  be hydrated and evaluated for hyperemesis gravidarum. </em><br>
  <br>
  There are some important things to remember about pregnancy-associated nausea and vomiting.  These symptoms should not start after the first trimester.  If they do, other potential causes should be explored.  Also, pregnancy should not be accompanied by fever, burning with urination, headache and abdominal pain beyond what can be explained by sore abdominal muscles.</p>
<p><strong><em>Nausea and vomiting*: </em></strong></p>
<ul>
  <li><em>Strategies </em>
      <ul>
        <li>Avoid odors and triggers </li>
        <li>Avoid spicy and fatty foods </li>
        <li>Omit iron supplement </li>
        <li>Eat bland, dry high protein foods </li>
        <li>Eat small frequent meals with fluids between </li>
        <li>Avoid an empty stomach </li>
        <li>Keep crackers at bedside; eat before rising</li>
      </ul>
  </li>
</ul>
<ul>
  <li><em>Alternative therapies</em>
      <ul>
        <li>Ginger: ginger ale or capsules (250mg 4 times per day taken orally) </li>
        <li>Vitamin B6 </li>
        <li>P6 elastic wristband (acupuncture point)</li>
      </ul>
  </li>
  <li><em>Antihistamines available without a script</em>
      <ul>
        <li>Dramamine (dimenhydrinate) 50mg 4 times per day </li>
        <li>Antivert (meclizine) 25mg 3 times per day </li>
        <li>Vistaril (hydroxyzine) 25-50mg 4 times per day </li>
        <li>Benadryl (diphenhydramine) 25mg 3 times per day</li>
      </ul>
  </li>
  <li><em>Prescription medicines available if indicated</em></li>
</ul>
<span class=""style1"">* adapted from Niebyl. ""Management of Nausea and Vomiting in Pregnancy: A Clinical Perspective"". <em>Academy for Healthcare Education</em>. Nov. 2002 pp.6-9.</span>",,ob_q20,1
21,swelling_normal_in_pregnant,21,I am having swelling. Is that normal?,"<p>Seventy-five percent of pregnant patients experience swelling or edema. It is usually worse in the lower extremities, and tends to be worse at the end of the day or after prolonged standing. Generalized swelling can be noticed: rings do not seem to fit or your face may seem puffy. We recommend drinking adequate water. We do not recommend salt restriction. For lower extremity swelling, elevation is effective. Support hose can be obtained based on your prepregnancy weight. There is still the challenge of putting on hose while pregnant.</p>
<p>Sometimes swelling is considered abnormal. Unilateral, or one-sided swelling, especially of the lower extremity is a possible sign of deep venous thrombosis. This will usually be associated with calf discomfort. Swelling is also seen in preeclampsia. This is a high blood pressure problem seen most frequently in the third trimester. You are evaluated for this each appointment. Your blood pressure is evaluated and your urine checked for protein. If you are concerned about the possibility of preeclampsia, you should have your blood pressure checked.</p>",,ob_q21,1
22,instructions_regarding_glucose_test,22,What are the instructions regarding the glucose test (glucola)?,"<ol>
<li>Avoid eating concentrated sweets the day before and the day of your glucola (i.e. candy, donuts, anything by Hostess)</li>
<li>Drink 1 bottle of glucola 1 hour before your appointment time and drink the entire amount within 5 minutes.  Note the exact time you start the drink.</li>
<li>DO NOT EAT, DRINK or SMOKE after you drink the glucola. (No mints, No chewing gum)</li>
<li>Arrive at the office 45 minutes after you drink the glucola and notify the receptionist of the exact time you began drinking the glucola. Your blood will be drawn at the one hour mark.</li>
</ol>",,ob_q22,1
